분류,상품명,설명,비율,제목
변액연금보험 상품,HighFive변액연금보험 무배당 2109 1종(기본형),연금개시 전 보험기간 중 사망 보험금이 기납입보험료보다 적을 경우 기납입보험료 등 약정된 보증금액을 사망보험금으로 보증합니다.,,변액보증 / 최저사망 보험금 / 사망사고 발생시
변액연금보험 상품,HighFive변액연금보험 무배당 2109 1종(기본형),연금개시 후 보험기간 중 연금재원을 특별계정에서 운용할 경우，특별계정의 투자성과에 관계없이 연금재원의 일정수준을 종신동안 인출할 수 있도록 보증합니다.,,변액보증 / 종신중도 인출금 / 연금개시 이후
변액연금보험 상품,(무)AI가 관리해주는 속편한 변액연금보험(보증형),이 상품은 예금자보호법에 따라 예금보험공사가 보호하지 않습니다. 다만，약관에서 정한 최저보증보험금 및 부가되는 특약 중 변액보험 특별계정과 관련이 없는 특약에 한하여 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 최저보증 / 보험금만 보호
변액연금보험 상품,(무)AI가 관리해주는 속편한 변액연금보험(보증형),이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
변액연금보험 상품,(무)AI가 관리해주는 속편한 변액연금보험(보증형),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
변액연금보험 상품,(무)AI가 관리해주는 속편한 변액연금보험(보증형),이 상품은 실적배당형 상품으로 특별계정의 운용실적에 따라 계약자적립금과 해지환급금 등이 매일 변동하고，특별계정 운용실적에 따른 이익과 손실이 계약자 및 수익자에게 귀속됩니다.,,실적배당형 / 수익률 변동 / 원금손실 가능
변액연금보험 상품,(무)AI가 관리해주는 속편한 변액연금보험(보증형),연금개시 전 보험기간 중 사망 보험금이 기납입보험료보다 적을 경우 기납입보험료 등 약정된 보증금액을 사망보험금으로 보증합니다.,,변액보증 / 최저사망 보험금 / 사망사고 발생시
변액연금보험 상품,(무)AI가 관리해주는 속편한 변액연금보험(보증형),연금개시 시점에 기납입보험료 등 약정된 보증금액을 연금개시 시점의 계약자적립금(연금재원)으로 보증합니다.,,변액보증 / 최저연금 적립금 / 연금개시 시점
변액연금보험 상품,(무)AI가 관리해주는 속편한 변액연금보험(미보증형),이 상품은 예금자보호법에 따라 예금보험공사가 보호하지 않습니다. 다만，약관에서 정한 최저보증보험금 및 부가되는 특약 중 변액보험 특별계정과 관련이 없는 특약에 한하여 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 최저보증 / 보험금만 보호
변액연금보험 상품,(무)AI가 관리해주는 속편한 변액연금보험(미보증형),이 상품은 만기시 환급금이 총 납입한 보험료를 초과합니다.,,저축성보험 / 예적금，펀드와 다름
변액연금보험 상품,(무)AI가 관리해주는 속편한 변액연금보험(미보증형),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
변액연금보험 상품,(무)AI가 관리해주는 속편한 변액연금보험(미보증형),이 상품은 실적배당형 상품으로 특별계정의 운용실적에 따라 계약자적립금과 해지환급금 등이 매일 변동하고，특별계정 운용실적에 따른 이익과 손실이 계약자 및 수익자에게 귀속됩니다.,,실적배당형 / 수익률 변동 / 원금손실 가능
변액연금보험 상품,(무)AI가 관리해주는 속편한 변액연금보험(미보증형),연금개시 전 보험기간 중 사망 보험금이 기납입보험료보다 적을 경우 기납입보험료 등 약정된 보증금액을 사망보험금으로 보증합니다.,,변액보증 / 최저사망 보험금 / 사망사고 발생시
보장성보험 운전자보험 상품,(무) 한화 OK2500 든든 운전자보험2101,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,(무) 한화 OK2500 든든 운전자보험2101,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,(무) 한화 OK2500 든든 운전자보험2101,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 운전자보험 상품,(무) 한화 OK2500 든든 운전자보험2101,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,85.3,보험가격지수 / 남성 기준
보장성보험 운전자보험 상품,(무)다이렉트 무사고할인 하이패스 운전자보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,(무)다이렉트 무사고할인 하이패스 운전자보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,(무)다이렉트 무사고할인 하이패스 운전자보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 운전자보험 상품,(무)다이렉트 무사고할인 하이패스 운전자보험,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,86.1,보험가격지수 / 남성 기준
보장성보험 운전자보험 상품,(무)AIG다이렉트 운전자보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,(무)AIG다이렉트 운전자보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,(무)AIG다이렉트 운전자보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 운전자보험 상품,(무)AIG다이렉트 운전자보험,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,125.5,보험가격지수 / 남성 기준
보장성보험 운전자보험 상품,(무)AIG다이렉트 운전자보험,이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,,금리확정형 / 적용금리 고정
보장성보험 운전자보험 상품,무배당 하이패스 운전자 상해보험(21.04),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,무배당 하이패스 운전자 상해보험(21.04),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,무배당 하이패스 운전자 상해보험(21.04),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 운전자보험 상품,무배당 하이패스 운전자 상해보험(21.04),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,97.0,보험가격지수 / 남성 기준
보장성보험 운전자보험 상품,무배당 하이패스 운전자 상해보험(21.04),이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
보장성보험 운전자보험 상품,무배당 하나 가득담은 운전자보험(다이렉트)(2104),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,무배당 하나 가득담은 운전자보험(다이렉트)(2104),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,무배당 하나 가득담은 운전자보험(다이렉트)(2104),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 운전자보험 상품,무배당 하나 가득담은 운전자보험(다이렉트)(2104),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,87.6,보험가격지수 / 남성 기준
보장성보험 운전자보험 상품,무배당 하나 가득담은 운전자보험(다이렉트)(2104),이 상품은 위험률 변경 등에 따라 갱신시 보험료가 변동될 수 있습니다.,,보험료갱신형 / 보험료 변동가능
보장성보험 운전자보험 상품,(무) let:click 운전자보험(2101),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,(무) let:click 운전자보험(2101),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,(무) let:click 운전자보험(2101),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 운전자보험 상품,(무) let:click 운전자보험(2101),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,82.8,보험가격지수 / 남성 기준
보장성보험 운전자보험 상품,무배당 KB 다이렉트운전자보험(21.08),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,무배당 KB 다이렉트운전자보험(21.08),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,무배당 KB 다이렉트운전자보험(21.08),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 운전자보험 상품,무배당 KB 다이렉트운전자보험(21.08),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,87.0,보험가격지수 / 남성 기준
보장성보험 운전자보험 상품,무배당 KB 다이렉트운전자보험(21.08),이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
보장성보험 운전자보험 상품,무배당 KB 다이렉트운전자보험(21.08),이 상품은 회사의 자산운용 이익률 및 시중금리 등이 하락하더라도 회사에서 지급을 보증한 최저이율을 보증합니다.,,최저이율보장 / 기간별 상이
보장성보험 운전자보험 상품,(무)다이렉트 참좋은운전자보험2108(CM),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,(무)다이렉트 참좋은운전자보험2108(CM),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,(무)다이렉트 참좋은운전자보험2108(CM),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 운전자보험 상품,(무)다이렉트 참좋은운전자보험2108(CM),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,120.4,보험가격지수 / 남성 기준
보장성보험 운전자보험 상품,(무)다이렉트 참좋은운전자보험2108(CM),이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
보장성보험 운전자보험 상품,(무)다이렉트 참좋은운전자보험2108(CM),이 상품은 회사의 자산운용 이익률 및 시중금리 등이 하락하더라도 회사에서 지급을 보증한 최저이율을 보증합니다.,,최저이율보장 / 기간별 상이
보장성보험 운전자보험 상품,(무)흥국화재 다이렉트 운전자보험(21.01),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,(무)흥국화재 다이렉트 운전자보험(21.01),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,(무)흥국화재 다이렉트 운전자보험(21.01),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 운전자보험 상품,(무)흥국화재 다이렉트 운전자보험(21.01),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,87.4,보험가격지수 / 남성 기준
보장성보험 운전자보험 상품,(무)흥국화재 다이렉트 운전자보험(21.01),이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
보장성보험 운전자보험 상품,(무)흥국화재 다이렉트 운전자보험(21.01),이 상품은 회사의 자산운용 이익률 및 시중금리 등이 하락하더라도 회사에서 지급을 보증한 최저이율을 보증합니다.,,최저이율보장 / 기간별 상이
보장성보험 운전자보험 상품,(무) 현대해상다이렉트운전자보험(Hi2110)  - 스마트플랜,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,(무) 현대해상다이렉트운전자보험(Hi2110)  - 스마트플랜,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,(무) 현대해상다이렉트운전자보험(Hi2110)  - 스마트플랜,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 운전자보험 상품,(무) 현대해상다이렉트운전자보험(Hi2110)  - 스마트플랜,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,90.8,보험가격지수 / 남성 기준
보장성보험 운전자보험 상품,(무) 현대해상다이렉트운전자보험(Hi2110)  - 스마트플랜,이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
보장성보험 운전자보험 상품,무배당  삼성화재 다이렉트 운전자보험(2104.17),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,무배당  삼성화재 다이렉트 운전자보험(2104.17),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,무배당  삼성화재 다이렉트 운전자보험(2104.17),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 운전자보험 상품,무배당  삼성화재 다이렉트 운전자보험(2104.17),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,92.1,보험가격지수 / 남성 기준
보장성보험 운전자보험 상품,무배당  삼성화재 다이렉트 운전자보험(2104.17),이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
보장성보험 운전자보험 상품,무배당  삼성화재 다이렉트 운전자보험(2104.17),이 상품은 회사의 자산운용 이익률 및 시중금리 등이 하락하더라도 회사에서 지급을 보증한 최저이율을 보증합니다.,,최저이율보장 / 기간별 상이
보장성보험 운전자보험 상품,(무)헤아림다이렉트운전자보험2101,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,(무)헤아림다이렉트운전자보험2101,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,(무)헤아림다이렉트운전자보험2101,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 운전자보험 상품,(무)헤아림다이렉트운전자보험2101,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,251.2,보험가격지수 / 남성 기준
보장성보험 운전자보험 상품,(무)헤아림다이렉트운전자보험2101,이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
보장성보험 운전자보험 상품,(무)헤아림다이렉트운전자보험2101,이 상품은 회사의 자산운용 이익률 및 시중금리 등이 하락하더라도 회사에서 지급을 보증한 최저이율을 보증합니다.,,최저이율보장 / 기간별 상이
보장성보험 운전자보험 상품,(무)참좋은운전자보험(TM)2104(1종),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,(무)참좋은운전자보험(TM)2104(1종),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,(무)참좋은운전자보험(TM)2104(1종),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 운전자보험 상품,(무)참좋은운전자보험(TM)2104(1종),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,159.4,보험가격지수 / 남성 기준
보장성보험 운전자보험 상품,(무)참좋은운전자보험(TM)2104(1종),이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
보장성보험 운전자보험 상품,(무)참좋은운전자보험(TM)2104(1종),이 상품은 회사의 자산운용 이익률 및 시중금리 등이 하락하더라도 회사에서 지급을 보증한 최저이율을 보증합니다.,,최저이율보장 / 기간별 상이
보장성보험 운전자보험 상품,(무)다이렉트 참좋은라이더+보험2101(CM),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,(무)다이렉트 참좋은라이더+보험2101(CM),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,(무)다이렉트 참좋은라이더+보험2101(CM),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 운전자보험 상품,(무)다이렉트 참좋은라이더+보험2101(CM),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,109.0,보험가격지수 / 남성 기준
보장성보험 운전자보험 상품,(무)다이렉트 참좋은라이더+보험2101(CM),이 상품은 보험회사의 자산운용이익률，시장금리 등에 따라 보험료적립금 적용이율이 변동됩니다.,,금리연동형 / 적용금리 변동
보장성보험 운전자보험 상품,(무)다이렉트 참좋은라이더+보험2101(CM),이 상품은 회사의 자산운용 이익률 및 시중금리 등이 하락하더라도 회사에서 지급을 보증한 최저이율을 보증합니다.,,최저이율보장 / 기간별 상이
보장성보험 운전자보험 상품,캐롯 990 운전자보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,캐롯 990 운전자보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,캐롯 990 운전자보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 운전자보험 상품,Chubb One-day레저보험 (5종),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,Chubb One-day레저보험 (5종),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,KB스마트운전자보험(하루운전자플랜),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,KB스마트운전자보험(하루운전자플랜),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,KB스마트운전자보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,KB스마트운전자보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,KB스마트운전자보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 운전자보험 상품,온라인스마트보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 운전자보험 상품,온라인스마트보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 운전자보험 상품,온라인스마트보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 간병치매보험 상품,(무)Top3간병보험Ⅱ,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 간병치매보험 상품,(무)Top3간병보험Ⅱ,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 간병치매보험 상품,(무)Top3간병보험Ⅱ,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 간병치매보험 상품,(무)Top3간병보험Ⅱ,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,102.3,보험가격지수 / 남성 기준
보장성보험 간병치매보험 상품,(무)Top3간병보험Ⅱ,이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,,금리확정형 / 적용금리 고정
보장성보험 간병치매보험 상품,(무)교보New가족든든치매보험 1종(저해지환급금형),이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 간병치매보험 상품,(무)교보New가족든든치매보험 1종(저해지환급금형),이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 간병치매보험 상품,(무)교보New가족든든치매보험 1종(저해지환급금형),이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 간병치매보험 상품,(무)교보New가족든든치매보험 1종(저해지환급금형),보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,115.2,보험가격지수 / 남성 기준
보장성보험 간병치매보험 상품,(무)교보New가족든든치매보험 1종(저해지환급금형),이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,,금리확정형 / 적용금리 고정
보장성보험 간병치매보험 상품,무배당 ABL인터넷간편가입치매보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 간병치매보험 상품,무배당 ABL인터넷간편가입치매보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
보장성보험 간병치매보험 상품,무배당 ABL인터넷간편가입치매보험,이 상품은 청약을 한 날부터 30일 이내(보험증권을 받은 날부터 15일 이내)에 청약철회가 가능합니다.,,청약철회 기간 / 청약후
보장성보험 간병치매보험 상품,무배당 ABL인터넷간편가입치매보험,보험업계 평균가격대비 이 상품의 보험가격 수준(대표계약 기준)을 비교하는 지수로 100% 초과이면 업계 평균보다 가격수준이 높고，100% 미만이면 업계 평균보다 가격수준이 낮습니다.,91.2,보험가격지수 / 남성 기준
보장성보험 간병치매보험 상품,무배당 ABL인터넷간편가입치매보험,이 상품은 보험료적립금 적용이율이 변동되지 않습니다.,,금리확정형 / 적용금리 고정
보장성보험 간병치매보험 상품,무배당 ABL인터넷간편가입치매보험,이 상품은 간편심사보험으로 건강체 가입자의 경우 일반 보험상품보다 보험료가 높을 수 있습니다.,,간편심사보험 / 제한적 심사
보장성보험 간병치매보험 상품,무배당 라이나간병플러스치매보험,이 상품은 예금자보호법에 따라 예금보험공사가 1인당 ˚최고 5천만원˚ 한도로 보호합니다. (단，법인 계약 제외),,예금자보호 / 1인당 / 최고 5천만원
보장성보험 간병치매보험 상품,무배당 라이나간병플러스치매보험,이 상품은 만기시 환급금이 총 납입한 보혐료를 초과하지 않습니다.,,보장성보험 / 상해，질병 등
